DATA,"ALT_CARREC","CARREC","TEMA","GRUP_INTERES","ESTAT_REGISTRE","NUMERO_REGISTRE","LLOC","TIPUS_ACTIVITAT","ACTIVITAT",PARTICIPANTS,HORES_ALT_CARREC,"CODI_ENS","NOM_ENS"
"2022/03/31","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Presentació-obertura Jornades Drets dels consumidors en temps de crisi (AGBAR)",,,,"BIBLIOTECA MESTRE MARTÍ TAULER","Activitat institucional","Reunió","3","1.00","818460009","Ajuntament de Rubí"
"2022/04/01","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita escoles - Coneix l'Ajuntament",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","2","2.00","818460009","Ajuntament de Rubí"
"2022/04/01","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita escoles - Coneix l'Ajuntament",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","2","2.00","818460009","Ajuntament de Rubí"
"2022/04/02","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Festa Autisme",,,,"COMPLEX ESPORTIU CAN ROSÉS/PAVELLÓ","Activitat institucional","Acte","1","2.25","818460009","Ajuntament de Rubí"
"2022/04/04","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Cantata escolar",,,,"MUSEU MUNICIPAL CASTELL [C-07]","Activitat institucional","Acte","5","1.00","818460009","Ajuntament de Rubí"
"2022/04/06","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Dia de les esquadres a Rubí",,,,"TEATRE LA SALA","Activitat institucional","Acte","13","1.00","818460009","Ajuntament de Rubí"
"2022/04/20","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Junta de portaveus",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","8","2.00","818460009","Ajuntament de Rubí"
"2022/04/20","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Jubilacions",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","5","0.50","818460009","Ajuntament de Rubí"
"2022/04/20","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Acte dia de la república",,,,"PLAÇA REPUBLICA","Activitat institucional","Acte","13","1.00","818460009","Ajuntament de Rubí"
"2022/04/23","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita Santa Jordina - presentació i lliurament premis curts Veus de dona",,,,"BIBLIOTECA MESTRE MARTÍ TAULER","Activitat institucional","Acte","4","0.75","818460009","Ajuntament de Rubí"
