ANY_SUBVENCIO,DATA_SUBVENCIO,"CIF_BENEFICIARI","BENEFICIARI","CONVOCATORIA","CENTRE_GESTOR","SITUACIO",IMPORT_SOLICITAT,IMPORT_CONCEDIT,"CODI_ENS","NOM_ENS"
"2012","2012/07/09","S0800117D","ESCOLA CA N'ALZAMORA","AJUTS A LES ESCOLES I IES PÚBLICS PER A LA REALITZACIÓ D'ACTIVITATS O PROJECTES PEDAGÒGICS","Educació","CONCESSIÓ VALIDADA O APROVADA","1126.00","1126.00","818460009","Ajuntament de Rubí"
"2012","2012/06/05","G60423308","C E B  SANT JORDI","ESCOLA ESPORTIVA DE BASQUET","Esports","JUSTIFICADA PARCIALMENTE","2500.00","2500.00","818460009","Ajuntament de Rubí"
"2012","2012/07/25","V58640731","CENTRE D'ESPLAI L'EIXAM","PROJECTES D'ACTIVITAT DE LES ENTITATS D'EDUCACIÓ EN EL TEMPS DE LLEURE","Educació","CONCESSIÓ VALIDADA O APROVADA","2600.00","2600.00","818460009","Ajuntament de Rubí"
"2012","2012/11/27","G60593944","APA 1993 CP 25 DE SETEMBRE  DE RUBI","BONIFICACIONS PER GERMANS MATRICULATS, FAMILIES NOMBROSES I MONOPARENTALS","Educació","CONCESSIÓ VALIDADA O APROVADA","366.00","366.00","818460009","Ajuntament de Rubí"
"2012","2012/11/27","V58640731","CENTRE D'ESPLAI L'EIXAM","CONTRACTACIÓ MONITORS","Educació","CONCESSIÓ VALIDADA O APROVADA","1349.40","1349.40","818460009","Ajuntament de Rubí"
"2012","2012/06/14","G59496711","AAVV ELS AVETS (ASPUR)","PROJECTES D'ACTIVITAT DE LES ASSOCIACIONS DE VEÏNS","Infrastructures","CONCESSIÓ VALIDADA O APROVADA","2300.00","700.00","818460009","Ajuntament de Rubí"
"2012","2012/11/27","G60208972","CLUB ESPORTIU RUBI FUTBOL SALA","CONVENI AMB EL CE RUBÍ FUTBOL SALA PEL PROGRAMA ESPORT PER A TOTHOM 2012-2013","Esports","JUSTIFICADA","30000.00","30000.00","818460009","Ajuntament de Rubí"
"2012","2012/11/23","G08804916","UNION EXTREMEÑA DE RUBI","2a convocatòria subvencions entitats culturals","Cultura","JUSTIFICADA","3851.50","600.00","818460009","Ajuntament de Rubí"
"2012","2012/07/31","G62631932","FRATER-NADAL SERVEI SOCIAL EVANGELIC","SUBVENCIÓ A L'ESGLÉSIA EVANGÈLICA ESPANYOLA PROJECTE FRATER NADAL","Sanitat i serveis socials","JUSTIFICADA PARCIALMENTE","10000.00","10000.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","G61197703","ELS CASTELLERS DE RUBI","PROJECTES D'ACTIVITAT DE LES ENTITATS CULTURALS","Cultura","JUSTIFICADA","4100.00","1000.00","818460009","Ajuntament de Rubí"
"2012","2012/07/31","G59382408","PENYA BLAU GRANA RAMON LLORENS","PREMIS PARTICIPACIÓ JOCS ESPORTIUS ESCOLARS DE RUBÍ 2011-2012","Esports","PAGADA","89.50","89.50","818460009","Ajuntament de Rubí"
"2012","2012/07/09","G61289658","ASSOCIACIO  SANT GALDERIC","PROJECTES D'ACTIVITAT DE LES ENTITATS CULTURALS","Cultura","JUSTIFICADA","2000.00","2000.00","818460009","Ajuntament de Rubí"
"2012","2012/12/04","G63013494","VILADECAVALLS VIDA I PAU","ENTITATS DE CARÀCTER SOLIDARI, PER A ACTIVITATS DE SENSIBILITZACIÓ DE COOPERACIÓ INTERNACIONAL","Sanitat i serveis socials","PAGADA","1050.00","1050.00","818460009","Ajuntament de Rubí"
"2012","2012/09/21","Q0873004F","CAMARA OFICIAL DE COMERCIO E  INDUSTRIA TERRASSA","CONVENI AMB LA CAMBRA DE COMERÇ DE TESSASSA PEL DESENVOLUPAMENT DELS PREMIS CAMBRA 2012","Gerència","JUSTIFICADA","4300.00","4300.00","818460009","Ajuntament de Rubí"
"2012","2012/07/31","Q5856371I","ESCOLA SCHOLA","AJUTS 2012 MANTENIMENT CORRECTIU DELS CENTRES D'EDUCACIÓ INFANTIL I PRIMÀRIA","Educació","CONCESSIÓ VALIDADA O APROVADA","1987.28","1987.28","818460009","Ajuntament de Rubí"
"2012","2012/12/03","G59582007","AA VV CA N'ORIOL","SEGONA CONVOCATÒRIA SUBVENCIONS A ASSOCIACIONS DE VEÏNS PER A ACTIVITATS","Infrastructures","PAGADA","5660.51","2450.00","818460009","Ajuntament de Rubí"
"2012","2012/07/03","G58269242","CLUB HANDBOL RUBI","DINAMITZACIÓ I PROMOCIÓ DEL HANDBOL A RUBÍ","Esports","JUSTIFICADA PARCIALMENTE","1350.00","1350.00","818460009","Ajuntament de Rubí"
"2012","2012/06/05","G60423308","C E B  SANT JORDI","SOSTENIMENT PABELLÓ ESPORTIU ESCOLA NOSTRA SENYORA DE MONTSERRAT","Esports","JUSTIFICADA PARCIALMENTE","2000.00","2000.00","818460009","Ajuntament de Rubí"
"2012","2012/07/25","G58173063","CENTRE MARISTA D'ESCOLTES","PROJECTES D'ACTIVITAT DE LES ENTITATS D'EDUCACIÓ EN EL TEMPS DE LLEURE","Educació","CONCESSIÓ VALIDADA O APROVADA","1500.00","1500.00","818460009","Ajuntament de Rubí"
"2012","2012/12/03","G60837945","ASSOCIACIO DE LA COMUNITAT DE PROPIETARIS RUBI 128","SEGONA CONVOCATÒRIA SUBVENCIONS A ASSOCIACIONS DE VEÏNS PER A ACTIVITATS","Infrastructures","PAGADA","1650.00","675.00","818460009","Ajuntament de Rubí"
