"REGISTRE","ESTAT","DATA_REGISTRE","DATA_BAIXA","TIPUS_IDENTIFICACIO","ESPECIE","SEXE","MIDA",DATA_NAIXEMENT,"RACA","PERILLOS","GOS_ASSITENCIA","CODI_ENS","NOM_ENS"
"R000306047","Vigent","2013-12-17",,"XIP","Gos","Femella","Mitjà","2013/06/15 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000306044","Vigent","2013-12-17",,"XIP","Gos","Mascle","Mitjà","2007/06/30 00:00:00.000000000","beagle","No","No","818460009","Ajuntament de Rubí"
"R000306038","Vigent","2013-12-17",,"XIP","Gos","Mascle","Petit","2013/03/10 00:00:00.000000000","chihuahua","No","No","818460009","Ajuntament de Rubí"
"R000305444","Vigent","2013-12-13",,"XIP","Gos","Femella",,,"indefinit","No","No","818460009","Ajuntament de Rubí"
"R000306029","Vigent","2013-12-17",,"XIP","Gos","Femella","Gran","2007/03/07 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000306014","Vigent","2013-12-17",,"XIP","Gos","Mascle","Mitjà","2004/01/20 00:00:00.000000000","cocker spaniel anglès","No","No","818460009","Ajuntament de Rubí"
"R000306032","Vigent","2013-12-17",,"XIP","Gos","Mascle","Petit","2008/01/15 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000305442","Vigent","2013-12-13",,"XIP","Gos","Mascle","Gran","2012/04/01 00:00:00.000000000","retriever del Labrador","No","No","818460009","Ajuntament de Rubí"
"R000305446","Vigent","2013-12-13",,"XIP","Gos","Femella","Mitjà","2007/06/15 00:00:00.000000000","cocker spaniel americà","No","No","818460009","Ajuntament de Rubí"
"R000306023","Vigent","2013-12-17",,"XIP","Gos","Mascle","Gran","2007/04/28 00:00:00.000000000","terrier negre rus","No","No","818460009","Ajuntament de Rubí"
"R000305430","Vigent","2013-12-13",,"XIP","Gos","Femella","Mitjà","2006/04/08 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000305423","Vigent","2013-12-13",,"XIP","Gos","Femella","Mitjà","2006/04/08 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000305433","Vigent","2013-12-13",,"XIP","Gos","Mascle","Petit","2008/03/11 00:00:00.000000000","bull terrier","No","No","818460009","Ajuntament de Rubí"
"R000305349","Vigent","2013-12-13",,"XIP","Gos","Femella","Mitjà","2006/06/06 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000305346","Vigent","2013-12-13",,"XIP","Gos","Femella","Mitjà","2006/06/01 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000305320","Vigent","2013-12-13",,"XIP","Gos","Mascle","Mitjà","2010/10/17 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
