ANY,TRIMESTRE,"ANY_TRIMESTRE","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM,"CODI_ENS","NOM_ENS"
"2017","3","2017-Q3","Districte 03","Secció 1","Districte 03 / Secció 1","13748.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 03","Secció 3","Districte 03 / Secció 3","19363.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 03","Secció 4","Districte 03 / Secció 4","17614.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 03","Secció 5","Districte 03 / Secció 5","18689.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 03","Secció 6","Districte 03 / Secció 6","18258.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 03","Secció 7","Districte 03 / Secció 7","21590.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 03","Secció 8","Districte 03 / Secció 8","10412.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 1","Districte 04 / Secció 1","16150.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 2","Districte 04 / Secció 2","14769.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 3","Districte 04 / Secció 3","14390.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 4","Districte 04 / Secció 4","21061.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 5","Districte 04 / Secció 5","17507.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 6","Districte 04 / Secció 6","15181.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 7","Districte 04 / Secció 7","14600.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 8","Districte 04 / Secció 8","9638.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 9","Districte 04 / Secció 9","33949.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 10","Districte 04 / Secció 10","24849.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 11","Districte 04 / Secció 11","21718.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 12","Districte 04 / Secció 12","14620.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 13","Districte 04 / Secció 13","18921.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 14","Districte 04 / Secció 14","17058.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 15","Districte 04 / Secció 15","12744.00","818460009","Ajuntament de Rubí"
