ANY,"ANY_TRIMESTRE",TRIMESTRE,"ANY_MES",MES,"MES_NOM","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM_KWH,"CODI_ENS","NOM_ENS"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 03","Secció 4","Districte 03 / Secció 4","171609.58","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 03","Secció 5","Districte 03 / Secció 5","258891.44","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 03","Secció 6","Districte 03 / Secció 6","248808.55","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 03","Secció 7","Districte 03 / Secció 7","218419.08","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 03","Secció 8","Districte 03 / Secció 8","15318.51","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 1","Districte 04 / Secció 1","131869.97","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 2","Districte 04 / Secció 2","156096.72","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 3","Districte 04 / Secció 3","103390.66","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 4","Districte 04 / Secció 4","10497.26","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 5","Districte 04 / Secció 5","165758.10","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 6","Districte 04 / Secció 6","142113.36","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 7","Districte 04 / Secció 7","196326.26","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 8","Districte 04 / Secció 8","129478.30","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 9","Districte 04 / Secció 9","116650.29","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 10","Districte 04 / Secció 10","228370.79","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 11","Districte 04 / Secció 11","201579.59","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 12","Districte 04 / Secció 12","145030.13","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 13","Districte 04 / Secció 13","224847.13","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 14","Districte 04 / Secció 14","146652.80","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 15","Districte 04 / Secció 15","127349.50","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 16","Districte 04 / Secció 16","137781.15","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 18","Districte 04 / Secció 18","175383.80","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 19","Districte 04 / Secció 19","120236.96","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 20","Districte 04 / Secció 20","139646.95","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 21","Districte 04 / Secció 21","186105.86","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 22","Districte 04 / Secció 22","233665.23","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 01","Secció 4","Districte 01 / Secció 4","5103.69","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 02","Secció 4","Districte 02 / Secció 4","116355.12","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 02","Secció 5","Districte 02 / Secció 5","29547.69","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 02","Secció 6","Districte 02 / Secció 6","2510.97","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 03","Secció 9","Districte 03 / Secció 9","165942.38","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 23","Districte 04 / Secció 23","152844.91","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 24","Districte 04 / Secció 24","100228.01","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 25","Districte 04 / Secció 25","109550.51","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-02","2","Febrer","Districte 04","Secció 26","Districte 04 / Secció 26","163161.73","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","13257658.21","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 01","Secció 1","Districte 01 / Secció 1","60326.28","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 01","Secció 2","Districte 01 / Secció 2","123683.98","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 01","Secció 3","Districte 01 / Secció 3","119460.20","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 02","Secció 1","Districte 02 / Secció 1","65224.27","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 02","Secció 3","Districte 02 / Secció 3",,"818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 03","Secció 1","Districte 03 / Secció 1","116238.49","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 03","Secció 3","Districte 03 / Secció 3","78253.57","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 03","Secció 4","Districte 03 / Secció 4","166295.99","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 03","Secció 5","Districte 03 / Secció 5","258513.46","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 03","Secció 6","Districte 03 / Secció 6","244464.75","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 03","Secció 7","Districte 03 / Secció 7","219622.62","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 03","Secció 8","Districte 03 / Secció 8","14579.29","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 1","Districte 04 / Secció 1","124763.55","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 2","Districte 04 / Secció 2","140230.32","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 3","Districte 04 / Secció 3","97323.81","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 4","Districte 04 / Secció 4","10650.19","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 5","Districte 04 / Secció 5","156951.66","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 6","Districte 04 / Secció 6","112190.01","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 7","Districte 04 / Secció 7","179065.74","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 8","Districte 04 / Secció 8","104803.13","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 9","Districte 04 / Secció 9","111813.77","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 10","Districte 04 / Secció 10","222030.89","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 11","Districte 04 / Secció 11","198749.07","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 12","Districte 04 / Secció 12","147421.85","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 13","Districte 04 / Secció 13","211671.86","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 14","Districte 04 / Secció 14","142571.41","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 15","Districte 04 / Secció 15","149323.35","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 16","Districte 04 / Secció 16","142749.27","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 18","Districte 04 / Secció 18","156670.78","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 19","Districte 04 / Secció 19","126279.48","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 20","Districte 04 / Secció 20","136089.71","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 21","Districte 04 / Secció 21","182607.13","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 22","Districte 04 / Secció 22","222359.43","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 01","Secció 4","Districte 01 / Secció 4","5112.60","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 02","Secció 4","Districte 02 / Secció 4","118343.01","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 02","Secció 5","Districte 02 / Secció 5","35903.15","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 02","Secció 6","Districte 02 / Secció 6","2589.14","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 03","Secció 9","Districte 03 / Secció 9","169938.36","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 23","Districte 04 / Secció 23","152966.81","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 24","Districte 04 / Secció 24","98910.83","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 25","Districte 04 / Secció 25","108277.59","818460009","Ajuntament de Rubí"
"2018","2018-Q1","1","2018-03","3","Març","Districte 04","Secció 26","Districte 04 / Secció 26","152097.04","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","12492567.31","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 01","Secció 1","Districte 01 / Secció 1","51114.77","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 01","Secció 2","Districte 01 / Secció 2","109103.65","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 01","Secció 3","Districte 01 / Secció 3","97965.22","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 02","Secció 1","Districte 02 / Secció 1","55061.84","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 02","Secció 3","Districte 02 / Secció 3",,"818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 03","Secció 1","Districte 03 / Secció 1","98871.42","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 03","Secció 3","Districte 03 / Secció 3","64274.93","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 03","Secció 4","Districte 03 / Secció 4","145597.18","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 03","Secció 5","Districte 03 / Secció 5","220364.46","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 03","Secció 6","Districte 03 / Secció 6","201574.80","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 03","Secció 7","Districte 03 / Secció 7","185390.49","818460009","Ajuntament de Rubí"
