ID_APLICACIO,"APLICACIO","DESC_APLICACIO",EXERCICI,"ORGANIC","ALIAS_PROGRAMA","ECONOMIC",ORG_COD_AREA_ORGANIC,"ORG_AREA_ORGANIC","ORG_COD_ORGANIC","ORG_ORGANIC","ECO_COD_CAPITOL","ECO_CAPITOL","ECO_COD_ARTICLE","ECO_ARTICLE","ECO_COD_CONCEPTE","ECO_CONCEPTE","ECO_COD_SUB_CONCEPTE","ECO_SUB_CONCEPTE",PREVISIONS_INICIALS,PREVISIONS_DEFINITIVES,MODIFICACIO_PREVISIONS,AUGMENT_PREVISIONS,DISMINUCIO_PREVISIONS,DRETS_RECONEGUTS_TOTALS,DRETS_RECONEGUTS_NETS,DRETS_ANULATS,RECAUDACIO_LIQUIDA,DEVOLUCIONS_INGRES,PERCENTATGE_EXECUCIO,DATA_ACTUALITZACIO,"CODI_ENS","NOM_ENS"
"829835751","2015-3261-34200","Preu públic escola bressol La Lluna","2015","3261","111","34200","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","34","PREUS PÚBLICS.","342","SERVEIS EDUCATIUS.","34200","PREU PÚBLIC ESCOLA BRESSOL LA LLUNA","253479.04","253479.04","0.00","0.00","0.00","235272.71","235040.76","231.95","200433.96","0.00","92.7","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"1181841777","2015-3261-34201","Preu públic escola bressol Sol Solet","2015","3261","111","34201","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","34","PREUS PÚBLICS.","342","SERVEIS EDUCATIUS.","34201","PREU PÚBLIC ESCOLA BRESSOL SOL SOLET","271225.84","271225.84","0.00","0.00","0.00","264837.75","264621.98","215.77","227434.21","0.00","97.6","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"3749193931","2015-3261-34202","Preu públic escola bressol la Bruna","2015","3261","111","34202","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","34","PREUS PÚBLICS.","342","SERVEIS EDUCATIUS.","34202","PREU PÚBLIC ESCOLA BRESSOL LA BRUNA","248836.19","248836.19","0.00","0.00","0.00","271122.47","269107.86","2014.61","224517.97","1250.95","108.1","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"1917006257","2015-32613-45030","GENCAT - Escola bressol Bruna","2015","32613","111","45030","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","45","DE COMUNITATS AUTÒNOMES.","450","DE L'ADMINISTRACIÓ GENERAL DE LES COMUNITATS AUTÒNOMES.","45030","TRANS CTES EN CUMPL DE CONV ELS SEUS AMB C.A EN MAT D'EDUCAC","0.00","0.00","0.00","0.00","0.00","19351.50","19351.50","0.00","19351.50","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"2045249602","2015-3261-46139","DIBA - Suport servei menjador Escola bressol","2015","3261","111","46139","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46139","SUBVENCIÓ","21064.00","21064.00","0.00","0.00","0.00","31483.00","31483.00","0.00","31483.00","0.00","149.5","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"2709210893","2015-3261-46142","DIBA - Finançament llars d'infants municipals","2015","3261","111","46142","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46142","DESCRIPCIÓN ECONÓMICA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"2786493204","2015-3261-46146","DIBA - Progr urgència social 2013-14 línia 3 EB Sol Solet","2015","3261","111","46146","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46146","DE DIPUTACIONS, CONSELLS O CABILDOS.","58714.74","58714.74","0.00","0.00","0.00","202818.64","202818.64","0.00","202818.64","0.00","345.4","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"3507598210","2015-3261-46147","DIBA - Progr urgència social 2013-14 línia 3 EB La Lluna","2015","3261","111","46147","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46147","DE DIPUTACIONS, CONSELLS O CABILDOS.","58714.74","58714.74","0.00","0.00","0.00","193824.20","193824.20","0.00","193824.20","0.00","330.1","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"1101966867","2015-3261-46148","DIBA - Progr urgència social 2013-14 línia 3 EB La Bruna","2015","3261","111","46148","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46148","DE DIPUTACIONS, CONSELLS O CABILDOS.","57327.80","57327.80","0.00","0.00","0.00","205236.94","205236.94","0.00","205236.94","0.00","358","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"926982984","2015-3262-31200","Rebuts escola d'art","2015","3262","111","31200","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","31","TAXES PER LA PREST DE SERVIC PÚBL DE CARÀCTER SOCIAL I PREFE","312","SERVEIS EDUCATIUS.","31200","LLICENCIES URBANISTIQUES","30993.00","30993.00","0.00","0.00","0.00","24244.58","23850.88","393.70","18932.48","327.70","77","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
