DATA_INICI_PREVISTA,DATA_INICI_REAL,"CODI","NOM",PRESSUPOST,CODI_ESTAT,"ESTAT",EE_SCP,EE_STF,es_mocion,es_plan,activo,"nombre_organico",id,"CODI_ENS","NOM_ENS"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U072 - ÀREA DE PROJECCIÓ A LA CIUTAT, CULTURA I ESPORTS","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U096 - UNITAT DE MANTENIMENT D'INSTALACIONS","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U032 - ÀREA DE DRETS SOCIALS","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U054 - UNITAT DE SERVEIS FUNERARIS","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U082 - BIBLIOTECA I GESTIÓ DEL CONEIXAMENT","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U007 - GABINET D'ALCALDIA I PROTOCOL","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U044 - SERVEI DE LLICÈNCIES I DISCIPLINA","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U069 - UNITAT LLICÈNCIES D'ACTIVITATS","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U093 - SERVEI DE GENT GRAN ACTIVA","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U019 - OFICINA D'ATENCIÓ A LA CIUTADANIA","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U052 - SERVEI DE SOSTENIBILITAT I MEDI","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U080 - UNITAT DE PROTECCIO CIVIL","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U004 - SERVEI D'ORGANIZACIÓ, PLANIFICACIÓ I QUALITAT","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U065 - OFICINA D'INSERCIÓ","1262","818460009","Ajuntament de Rubí"
