"EXPEDIENT_SESSIO","DATA_SESSIO","HORA_INICI_SESSIO","HORA_FI_SESSIO","EXPEDIENT_PROPOSTA","PROCEDIMENT","DESCRIPCIO","DATA_SIGNATURA","RESULTAT_VOTACIO","PARTIT_POLITIC","ASSISTENT_CARREG","ASSISTENT","VOT","PRESENTA_AUP_AMUNT","PRESENTA_CS","PRESENTA_ECP_RUBI_ECG","PRESENTA_ERC_CM","PRESENTA_PSC_CP","PRESENTA_VR","PRESENTA_PP","PRESENTA_VOX","CODI_ENS","NOM_ENS","DATA_HORA_DADES",ID
"16/2020/PLE","22/12/2020","17:02 h","21:08 h","60/2020/MOC","MOC - Mocions al Ple","MOCIÓ DEL GRUP MUNICIPAL AUP PER A LA CREACIÓ D’UNA EMPRESA PÚBLICA DE SERVEIS MUNICIPALS","17/12/2020","REBUTJADA ABSOLUTA","AUP-AMUNT",,"CAÑIZAR BEL,BELEN","SI","1","0","0","0","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6128"
"16/2020/PLE","22/12/2020","17:02 h","21:08 h","57/2020/MOC","MOC - Mocions al Ple","MOCIÓ DEL GRUP MUNICIPAL D'ESQUERRA REPUBLICANA DE CATALUNYA – ACORD MUNICIPAL PER DECLARAR PERSONA NON GRATA EL REI  FELIP VI","16/12/2020","REBUTJADA ABSOLUTA","PSC-CP",,"GUETO ORTIZ,RAFAEL","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6129"
"16/2020/PLE","22/12/2020","17:02 h","21:08 h","57/2020/MOC","MOC - Mocions al Ple","MOCIÓ DEL GRUP MUNICIPAL D'ESQUERRA REPUBLICANA DE CATALUNYA – ACORD MUNICIPAL PER DECLARAR PERSONA NON GRATA EL REI  FELIP VI","16/12/2020","REBUTJADA ABSOLUTA","PSC-CP",,"LOPEZ NUÑEZ,JUAN","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6130"
"16/2020/PLE","22/12/2020","17:02 h","21:08 h","57/2020/MOC","MOC - Mocions al Ple","MOCIÓ DEL GRUP MUNICIPAL D'ESQUERRA REPUBLICANA DE CATALUNYA – ACORD MUNICIPAL PER DECLARAR PERSONA NON GRATA EL REI  FELIP VI","16/12/2020","REBUTJADA ABSOLUTA","PSC-CP",,"FERRER POLO,YOLANDA","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6131"
"16/2020/PLE","22/12/2020","17:02 h","21:08 h","57/2020/MOC","MOC - Mocions al Ple","MOCIÓ DEL GRUP MUNICIPAL D'ESQUERRA REPUBLICANA DE CATALUNYA – ACORD MUNICIPAL PER DECLARAR PERSONA NON GRATA EL REI  FELIP VI","16/12/2020","REBUTJADA ABSOLUTA","PSC-CP",,"GARCIA CORREAS,VICTOR","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6132"
"16/2020/PLE","22/12/2020","17:02 h","21:08 h","57/2020/MOC","MOC - Mocions al Ple","MOCIÓ DEL GRUP MUNICIPAL D'ESQUERRA REPUBLICANA DE CATALUNYA – ACORD MUNICIPAL PER DECLARAR PERSONA NON GRATA EL REI  FELIP VI","16/12/2020","REBUTJADA ABSOLUTA","PSC-CP",,"CUESTA FABRE,ANNABEL","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6133"
"16/2020/PLE","22/12/2020","17:02 h","21:08 h","57/2020/MOC","MOC - Mocions al Ple","MOCIÓ DEL GRUP MUNICIPAL D'ESQUERRA REPUBLICANA DE CATALUNYA – ACORD MUNICIPAL PER DECLARAR PERSONA NON GRATA EL REI  FELIP VI","16/12/2020","REBUTJADA ABSOLUTA","PSC-CP",,"OLIVA MARTIN,MARTA","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6134"
"16/2020/PLE","22/12/2020","17:02 h","21:08 h","57/2020/MOC","MOC - Mocions al Ple","MOCIÓ DEL GRUP MUNICIPAL D'ESQUERRA REPUBLICANA DE CATALUNYA – ACORD MUNICIPAL PER DECLARAR PERSONA NON GRATA EL REI  FELIP VI","16/12/2020","REBUTJADA ABSOLUTA","PSC-CP",,"ROMERO ALCALDE,MIGUEL ANGEL","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6135"
"16/2020/PLE","22/12/2020","17:02 h","21:08 h","57/2020/MOC","MOC - Mocions al Ple","MOCIÓ DEL GRUP MUNICIPAL D'ESQUERRA REPUBLICANA DE CATALUNYA – ACORD MUNICIPAL PER DECLARAR PERSONA NON GRATA EL REI  FELIP VI","16/12/2020","REBUTJADA ABSOLUTA","ECP",,"GARCIA MORENO,ANNIA","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6136"
"16/2020/PLE","22/12/2020","17:02 h","21:08 h","57/2020/MOC","MOC - Mocions al Ple","MOCIÓ DEL GRUP MUNICIPAL D'ESQUERRA REPUBLICANA DE CATALUNYA – ACORD MUNICIPAL PER DECLARAR PERSONA NON GRATA EL REI  FELIP VI","16/12/2020","REBUTJADA ABSOLUTA","ECP",,"MEDRANO MUÑOZ,ANDRES","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6137"
"16/2020/PLE","22/12/2020","17:02 h","21:08 h","57/2020/MOC","MOC - Mocions al Ple","MOCIÓ DEL GRUP MUNICIPAL D'ESQUERRA REPUBLICANA DE CATALUNYA – ACORD MUNICIPAL PER DECLARAR PERSONA NON GRATA EL REI  FELIP VI","16/12/2020","REBUTJADA ABSOLUTA","ECP",,"NAVARRO CANO,PABLO","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6138"
"16/2020/PLE","22/12/2020","17:02 h","21:08 h","57/2020/MOC","MOC - Mocions al Ple","MOCIÓ DEL GRUP MUNICIPAL D'ESQUERRA REPUBLICANA DE CATALUNYA – ACORD MUNICIPAL PER DECLARAR PERSONA NON GRATA EL REI  FELIP VI","16/12/2020","REBUTJADA ABSOLUTA","C's",,"MARTIN MARTIN,ROBERTO","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6139"
"16/2020/PLE","22/12/2020","17:02 h","21:08 h","57/2020/MOC","MOC - Mocions al Ple","MOCIÓ DEL GRUP MUNICIPAL D'ESQUERRA REPUBLICANA DE CATALUNYA – ACORD MUNICIPAL PER DECLARAR PERSONA NON GRATA EL REI  FELIP VI","16/12/2020","REBUTJADA ABSOLUTA","C's",,"LOPEZ MORANO,FRANCISCO JAVIER","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6140"
"16/2020/PLE","22/12/2020","17:02 h","21:08 h","57/2020/MOC","MOC - Mocions al Ple","MOCIÓ DEL GRUP MUNICIPAL D'ESQUERRA REPUBLICANA DE CATALUNYA – ACORD MUNICIPAL PER DECLARAR PERSONA NON GRATA EL REI  FELIP VI","16/12/2020","REBUTJADA ABSOLUTA","C's",,"SANCHEZ REINA,YASMINA","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6141"
"16/2020/PLE","22/12/2020","17:02 h","21:08 h","57/2020/MOC","MOC - Mocions al Ple","MOCIÓ DEL GRUP MUNICIPAL D'ESQUERRA REPUBLICANA DE CATALUNYA – ACORD MUNICIPAL PER DECLARAR PERSONA NON GRATA EL REI  FELIP VI","16/12/2020","REBUTJADA ABSOLUTA","AUP-AMUNT",,"CAÑIZAR BEL,BELEN","SI","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6142"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","53/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal Veïns per Rubí (VR) per impulsar noves ajudes municipals per al comerç local","20/11/2020","REBUTJADA ABSOLUTA","ERC",,"ARNAIZ MORENO,OSCAR LUIS","SI","0","0","0","0","0","1","1","1","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6143"
