"DATA_MATRICULA","SITUACIO_ACTUAL","MARCA",KM_ACTUALS,"TIPUS","ADSCRIPCIO","TITULARITAT",id,"CODI_ENS","NOM_ENS"
"06/05/2005","OPERATIU","NISSAN TERRANO II","58722","Turismo Todo Terreno","U080 - UNITAT DE PROTECCIO CIVIL","Propietat","1","818460009","Ajuntament de Rubí"
"05/05/2005","OPERATIU","NISSAN CABSTAR","999999","Camión MMA < = 3.500 kg / Caja abierta","U049 - UNITAT DE BRIGADA D'OBRES","Propietat","8","818460009","Ajuntament de Rubí"
"14/01/2005","OPERATIU","HIBEMA E-3500-B","23000","Remolque agrícola / Basculante","U047 - UNITAT DE PARCS I JARDINS","Propietat","94","818460009","Ajuntament de Rubí"
"29/12/2004","OPERATIU","SUZUKI  WAGON RT","59945","Turismo","U045 - SERVEI D'OBRA PÚBLICA","Propietat","36","818460009","Ajuntament de Rubí"
"28/10/2004","OPERATIU","BCS  VITHAR 800 RS","2100","Tractor de servicios","U047 - UNITAT DE PARCS I JARDINS","Propietat","96","818460009","Ajuntament de Rubí"
"20/10/2004","OPERATIU","NEW HOLLAND TS110A (4WD)","2225","Tractor de servicios","U047 - UNITAT DE PARCS I JARDINS","Propietat","93","818460009","Ajuntament de Rubí"
"16/09/2004","OPERATIU","FIAT PANDA","59756","Turismo","U050 - SERVEI DE MOBILITAT I ACCESSIBILITAT","Propietat","27","818460009","Ajuntament de Rubí"
"13/07/2004","OPERATIU","NISSAN KUBISTAR","68089","Furgón/Furgoneta < = 3.500 Kg","U033 - SERVEIS SOCIALS","Propietat","69","818460009","Ajuntament de Rubí"
"29/12/2003","OPERATIU","SUZUKI WAGON R","97197","Turismo","U050 - SERVEI DE MOBILITAT I ACCESSIBILITAT","Propietat","11","818460009","Ajuntament de Rubí"
"12/12/2003","OPERATIU","FORD TT PEDALES (Vehicle Històric)","0",,"U041 - SERVEI DE PROMOCIÓ I DINAMITZACIÓ CULTURAL","Propietat","98","818460009","Ajuntament de Rubí"
"24/07/2002","OPERATIU","VOLKSWAGEN PASSAT","103665","Turismo","U015 - SERVEIS A L'EMPRESA","Propietat","13","818460009","Ajuntament de Rubí"
,"OPERATIU","Legend Milano","34","Bicicletas y patinetes eléctricos (VMP)","U079 - UNITAT RUBÍ BRILLA","Propietat","137","818460009","Ajuntament de Rubí"
,"OPERATIU","Xiaomi 1S EU","98","Bicicletas y patinetes eléctricos (VMP)","U079 - UNITAT RUBÍ BRILLA","Propietat","132","818460009","Ajuntament de Rubí"
,"OPERATIU","Legend Milano","168","Bicicletas y patinetes eléctricos (VMP)","U079 - UNITAT RUBÍ BRILLA","Propietat","134","818460009","Ajuntament de Rubí"
,"OPERATIU","Legend Milano","22","Bicicletas y patinetes eléctricos (VMP)","U079 - UNITAT RUBÍ BRILLA","Propietat","136","818460009","Ajuntament de Rubí"
,"OPERATIU","Xiaomi 1S EU","55","Bicicletas y patinetes eléctricos (VMP)","U079 - UNITAT RUBÍ BRILLA","Propietat","131","818460009","Ajuntament de Rubí"
,"OPERATIU","MITSUBITSHI MITS.","131477",,"U083 - UNITAT DE NETEJA VIÀRIA","Propietat","40","818460009","Ajuntament de Rubí"
,"OPERATIU","Legend Milano","227","Bicicletas y patinetes eléctricos (VMP)","U079 - UNITAT RUBÍ BRILLA","Propietat","138","818460009","Ajuntament de Rubí"
,"OPERATIU","Flebi Supra 3.0 Black line","331","Bicicletas y patinetes eléctricos (VMP)","U079 - UNITAT RUBÍ BRILLA","Propietat","133","818460009","Ajuntament de Rubí"
,"OPERATIU","Legend Milano","138","Bicicletas y patinetes eléctricos (VMP)","U079 - UNITAT RUBÍ BRILLA","Propietat","135","818460009","Ajuntament de Rubí"
