ID,"ACTIVITAT","NOM_COMERCIAL","EMPLAÇAMENT","ZONA",LATITUD,LONGITUD,"WEB","CODI_ENS","NOM_ENS"
"2407","TALLER A TALL A MIDA DE METALLS","STEEL BAND","AV GAUDI,  112 NV 12","Districte Administratiu 1 - SUD-OEST","41.47045034462378","2.012216448416954",,"818460009","Ajuntament de Rubí"
"383","RESTAURANT","BAR RESTAURANTE LA PARRILLA","AV GAUDI,   98-100 NV 08","Districte Administratiu 1 - SUD-OEST","41.47076233111983","2.0128199693231132",,"818460009","Ajuntament de Rubí"
"1200","INDÚSTRIA DE FOSA DE METALL","FUNDICION ALUMINIO VM, SCP","AV GAUDI,  124 NV 16","Districte Administratiu 1 - SUD-OEST","41.47014866630103","2.0116381029186536",,"818460009","Ajuntament de Rubí"
"1451","reciclatge i rebuig de metalls","JP CHATARRERIA","AV GAUDI,   84-86 NV 04","Districte Administratiu 1 - SUD-OEST","41.47107094220103","2.0134132108354783",,"818460009","Ajuntament de Rubí"
"1438","VALORITZACIÓ DE RESIDUS NO PERILLOSOS","JOAN CASALS","AV GAUDI,  108-110 NV 11","Districte Administratiu 1 - SUD-OEST","41.470532688282304","2.012372325064547",,"818460009","Ajuntament de Rubí"
"2168","VALORTIZACIÓ DE RESIDUS NO PERILLOSOS (CANVI NO SUBS)","RECICLAJE TABUENCA RUBÍ","AV GAUDI,  108-110 NV 11","Districte Administratiu 1 - SUD-OEST","41.470532688282304","2.012372325064547",,"818460009","Ajuntament de Rubí"
"1701","FABRICACIÓ DE TUBS, CANONADES I PERFILS","MASERVIN","AV GAUDI,  104-106 NV 10","Districte Administratiu 1 - SUD-OEST","41.470604406737266","2.012517170416392",,"818460009","Ajuntament de Rubí"
"2950","APARCAMENT PRIVAT DE VEHICLES",,"C BADAJOZ,   12-14","Districte Administratiu 5 - NORD","41.50083832660473","2.046636546292043",,"818460009","Ajuntament de Rubí"
"844","Centre de ioga i relaxació","DHARMA  YOGA","C EDUARD FONTSERE,   19 PB","Districte Administratiu 6 - EST","41.489623903315746","2.0409902205633808",,"818460009","Ajuntament de Rubí"
"2976","MAGATZEM DE MOBLES",,"C EDUARD FONTSERE,   21 PB","Districte Administratiu 6 - EST","41.489694718599004","2.0409907346371696",,"818460009","Ajuntament de Rubí"
"903","FABRICACIÓ DE MOBLES DE FUSTA","EBENUS","PTGE DOCTOR FERRAN,   12 NV 15","Districte Administratiu 3 - SUD","41.4804794989149","2.0327402560918038",,"818460009","Ajuntament de Rubí"
"685","FABRICACIO DE PRODUCTES PLASTICS","CLASS PLASTICS","C PONT DE CAN CLAVERI,   60","Districte Administratiu 4 - CENTRE","41.51004204828947","2.031914544209243",,"818460009","Ajuntament de Rubí"
"1511","GESTIÓ DE RESIDUS METÀL·LICS I PERILLOSOS","LA BALCHETA","AV GAUDI,   11-21","Districte Administratiu 1 - SUD-OEST","41.47025325921281","2.017167429263092",,"818460009","Ajuntament de Rubí"
"2248","CENTRE DE RECOLLIDA I TRANSFERENCIA DE RESIDUS PERILLOSOS FINS A 30 TONES/DIA I VALORITZACIÓ I EMMAGATZEMATGE DE RESIDUS NO PERILLOSOS FINS 100.000 TONES/ANY","RODUHER","AV GAUDI,   11-21","Districte Administratiu 1 - SUD-OEST","41.47025325921281","2.017167429263092",,"818460009","Ajuntament de Rubí"
"2549","CENTRE D'ESTÈTICA","TORRESALUT","C GENERAL CASTAÑOS,   21-27 Esc B LOC 02","Districte Administratiu 4 - CENTRE","41.49425996361579","2.035161761253276",,"818460009","Ajuntament de Rubí"
"746","INDÚSTRIA D'ARTS GRÀFIQUES","CONDAL FORMULARIOS, SL","C DOMENECH I MONTANER,   14","Districte Administratiu 1 - SUD-OEST","41.46502691109447","2.010247765990613",,"818460009","Ajuntament de Rubí"
"1419","MAGATZEM D'ARTICLES DE REGAL, JOGUINES I PAPERERIA","ITEM","C DOMENECH I MONTANER,   20-22","Districte Administratiu 1 - SUD-OEST","41.464980509127635","2.009740130552841",,"818460009","Ajuntament de Rubí"
"757","MAGATZEM DE MATERIALS PER LA CONSTRUCCIÓ","CONSTRUCIA","C PRAGA,    4","Districte Administratiu 1 - SUD-OEST","41.47627643211572","2.026693390597387",,"818460009","Ajuntament de Rubí"
"599","FABRICACIÓ DE MORTER SEC, FORMIGÓ I EMMAGATZEMATGE","CEMEX","C CESAR MARTINELL,   21 SUELO","Districte Administratiu 1 - SUD-OEST","41.46294361770716","2.008316737885128",,"818460009","Ajuntament de Rubí"
"1360","FABRICACIO DE PRODUCTES QUIMICS (CANVI NO SUBSTANCIAL)","IGCAR","C DOMENECH I MONTANER,   35-55","Districte Administratiu 1 - SUD-OEST","41.464639686636424","2.008216121855936",,"818460009","Ajuntament de Rubí"
"1361","FABRICACIÓ DE PRODUCTES QUÍMICS","IGCAR","C DOMENECH I MONTANER,   35-55","Districte Administratiu 1 - SUD-OEST","41.464639686636424","2.008216121855936","www.igcar.com","818460009","Ajuntament de Rubí"
"1362","FABRICACIO DE PRODUCTES QUIMICS DIVERSOS","IGCAR","C DOMENECH I MONTANER,   35-55","Districte Administratiu 1 - SUD-OEST","41.464639686636424","2.008216121855936",,"818460009","Ajuntament de Rubí"
"1363","FABRICACIÓ PREPARACIÓ DE PRODUCTES QUÍMICS","IGCAR","C DOMENECH I MONTANER,   35-55","Districte Administratiu 1 - SUD-OEST","41.464639686636424","2.008216121855936",,"818460009","Ajuntament de Rubí"
"3273","APARCAMENT PRIVAT DE VEHICLES",,"C PAU ROCA,   18","Districte Administratiu 4 - CENTRE","41.49362393680282","2.0266432278492945",,"818460009","Ajuntament de Rubí"
"636","BAR-RESTAURANT","CERVECERIA ALHAMBRA","CTRA SABADELL,  111 PB","Districte Administratiu 5 - NORD","41.501513352454396","2.0333778775183062",,"818460009","Ajuntament de Rubí"
